recommend, date, review
Recommended,Posted: 30 December| 2019,greatest comeback in gaming
Recommended,Posted: 9 January,Thank you internet historian| very cool!
Recommended,Posted: 25 December| 2019,A game with real heart from a team who never ever gave up. What's not to like?
Recommended,Posted: 2 April,Hello Games taught us two lessons. -How not to launch a game-How to revive and keep supporting a game.Greatest comeback 8/10
Recommended,Posted: 3 May,This game has risen from the Ashes. All the respect for the devs for not giving up. Internet Historian really made me feel for the devs.
Recommended,Posted: 27 May,I've never written a review before for anything but that is changing right now. I discovered No Man's Sky about a month ago. I originally bought it to play in VR but quickly discovered that it was also enjoyable on the PC once I got the hang of the key mappings.I've never played console games but it's safe to say I'm hooked with just over 150 hours in the last 3 weeks. I look forward to the daily Nexus missions and only have one more before I have enough quicksilver to get an important item| I got my freighter a couple of days ago and I LOVE fighting pirates. Who would have thought a 58 year old grandmother would become a No Man's Sky avid player!  :-)
Recommended,Posted: 2 January,Ok. Is someone actually still reading these reviews? Well if you get to this one| among the thousands of reviews for NMS| then you really are committed. As I'm sure you know by now| this game was an utter fail when it was released. The description of the game sounded so amazing| like everything you could ever want from a space-themed| sandbox builder. It was lame and repetitive with a low variety of content. The launch was done all wrong and| the term 'false advertising' was kicked around a lot. Well| luckily the developers didn't stop. It is now a complete game. There are SO many aspects to this game from flight (space or on planet)| farming (mining)| exploration| discovery| fighting off attacks from animals and drones (sentinels)| to my favorite| amazing base-building with SO FREAKING MANY build options. They keep adding new ones too. Hello Games also recently released VR support| and it's really well done. There's something about being able to walk around in the base that you built| in real scale with VR. Hundreds of hours have gone into some of the most amazing bases I've built| and am planning for hundreds more.
Recommended,Posted: 10 May| 2019,Do I recommend this game?    YESThe game launch was a disaster. Yet where many games would tuck tail| grab as much income as possible and bail| Hello (the dev) stuck with it. They turned this game into everything it should be. Now we are getting true multiplayer and VR! NOW is the time to pull the trigger on this game.To the devs: Thanks for doing the right thing.
Recommended,Posted: 7 April,As everyone knows| No Man's Sky is a modern cautionary tale about pre-release game development. What not everyone knows| but people are slowly beginning to learn| is that it's also an exemplar of ongoing game development. Like many| I bought NMS at launch| and was underwhelmed by it. I wasn't outraged| as so many were| but it seemed like a great example of over-promising and under-delivering. I played enough to get bored with the mechanics| marveled a bit at the color and scope of the worlds while being frustrated with the mechanics| and blundered around without a very well-defined tutorial path. Then I went on to other things instead.Four years later| all of the good things about NMS have been retained and improved| all of the bad things have been resolved| and features I never even hoped for have been added. The dev team has been responsive| engaged and imaginative. It would have been understandable for Hello Games to fold up| after an Icarus story so painfully acted out| but instead they doubled down on their commitments and have turned No Man's Sky into a genuinely wonderful gaming experience.I honestly cannot say enough positive things about it. It is a shining example of how game development can work when driven by a team that wants to do the absolute best they can for their audience| delivering content-filled updates regularly without asking a penny more than the original cost of the game. I have looked for ways to give them more of my money| and have settled for evangelizing about it to all of my friends. Especially now - if you have free time| get NMS.
Recommended,Posted: 26 November| 2019,It was a disaster at launch with so many broken promises but the developers didn't abandon the game as so many large publishers did with their IP when it flopped| instead they grew a spine and started working on it| adding features which were promised before and made a decent game out of it.
